Designator,Footprint,Quantity,Value,LCSC Part #
J21,PinHeader_2x03_P2.54mm_Vertical_SMD,1,B-2100N06P-B111,
IC13,SOP65P488X107-8N,1,PE4250MLI-Z,
IC12,SOP65P488X107-8N,1,PE4250MLI-Z,
IC11,SOP65P488X107-8N,1,PE4250MLI-Z,
IC10,SOP65P488X107-8N,1,PE4250MLI-Z,
R156,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
JP11,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,sjp,
C28,C_0805_2012Metric,1,0.1uF,
J20,PinHeader_2x03_P2.54mm_Vertical_SMD,1,B-2100N06P-B111,
R155,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R154,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
TP4,TestPoint_Pad_D1.0mm,1,tp,
TP3,TestPoint_Pad_D1.0mm,1,tp,
R153,R_0805_2012Metric,1,0,
TP2,TestPoint_Pad_D1.0mm,1,tp,
TP1,TestPoint_Pad_D1.0mm,1,tp,
C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R152,R_0805_2012Metric,1,0,
C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C25,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
R151,R_0805_2012Metric,1,0,
JP14,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,sjp,
R150,R_0805_2012Metric,1,330,
R149,R_0805_2012Metric,1,150,
R148,R_0805_2012Metric,1,0,
J19,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,u.fl,
J18,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,u.fl,
C24,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C23,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C22,C_0805_2012Metric,1,dnp,
U22,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA388,
R59,R_0805_2012Metric,1,100,
R58,R_0805_2012Metric,1,10k,
R57,R_0805_2012Metric,1,10k,
C21,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,0.1uF,
C20,C_1210_3225Metric,1,ECPU1C105MA5,
C19,C_0805_2012Metric,1,dnp,
C18,C_0805_2012Metric,1,dnp,
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,
U21,SOIC-14_3.9x8.7mm_P1.27mm,1,MAX5719xSD,
R56,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R55,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R54,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R53,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,X32258MOB4SI,
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,THS4281,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,ADR421ARZ,
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA388,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,ADA4841-2,
U8,SOIC-14_3.9x8.7mm_P1.27mm,1,MAX5719xSD,
U1,LQFP-64_10x10mm_P0.5mm,1,CH32V307RCT6,
S_RESET1,SW_SPST_B3U-1000P,1,GT-TC032A-H015-L1,
S_BOOT1,SW_SPST_B3U-1000P,1,GT-TC032A-H015-L1,
RV1,Potentiometer_Bourns_3224W_Vertical,1,dnp,
R147,R_0805_2012Metric,1,1k,
R146,R_0805_2012Metric,1,100k,
R145,R_0805_2012Metric,1,33k,
R144,R_0805_2012Metric,1,470k,
R143,R_0805_2012Metric,1,15k,
R142,R_0805_2012Metric,1,33k,
R141,R_0805_2012Metric,1,470k,
R137,R_0805_2012Metric,1,0,
R136,R_0805_2012Metric,1,10k,
R135,R_0805_2012Metric,1,1k,
R134,R_0805_2012Metric,1,10k,
R133,R_0805_2012Metric,1,10k,
R132,R_0805_2012Metric,1,10k,
R131,R_0805_2012Metric,1,1k,
R130,R_0805_2012Metric,1,10,
R129,R_0805_2012Metric,1,10,
R128,R_0805_2012Metric,1,1k,
R127,R_0805_2012Metric,1,1k,
R126,R_0805_2012Metric,1,390,
R125,R_0805_2012Metric,1,390,
R124,R_0805_2012Metric,1,560,
R123,R_0805_2012Metric,1,560,
R122,R_0805_2012Metric,1,0,
R121,R_0805_2012Metric,1,10,
R120,R_0805_2012Metric,1,10,
R119,R_0805_2012Metric,1,100,
R118,R_0805_2012Metric,1,100,
R117,R_0805_2012Metric,1,dnp,
R116,R_0805_2012Metric,1,dnp,
R115,R_0805_2012Metric,1,10,
R114,R_0805_2012Metric,1,10,
R113,R_0805_2012Metric,1,1k,
R112,R_0805_2012Metric,1,1k,
R111,R_0805_2012Metric,1,390,
R110,R_0805_2012Metric,1,390,
R109,R_0805_2012Metric,1,560,
R108,R_0805_2012Metric,1,560,
R107,R_0805_2012Metric,1,0,
R41,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R40,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R39,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R38,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R37,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R36,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R35,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R34,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R33,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R32,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R31,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R30,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R29,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R28,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R26,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R25,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R24,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R23,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
R21,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10k,
R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
R18,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
R17,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4k7,
R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,
R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,27,
