Designator,Mid X,Mid Y,Rotation,Layer
J42,119.0,-71.5,-90.0,top
D17,36.0,-129.75,0.0,top
D14,141.75,-68.725,180.0,top
D13,134.75,-74.25,0.0,top
S_BOOT0,83.0,-41.5,90.0,top
C110,127.5,-95.45,-90.0,top
C76,84.25,-86.25,-90.0,top
R85,83.0,-116.75,90.0,top
R147,131.5,-62.725,-90.0,top
R161,57.725,-142.5625,90.0,top
R38,65.9125,-58.25,180.0,top
C78,87.25,-90.0,180.0,top
C95,30.75,-94.25,-90.0,top
L8,112.25,-129.5875,180.0,top
R90,100.45,-152.72,-90.0,top
IC1,124.25,-122.3375,180.0,top
J6,66.0,-40.25,180.0,top
C86,60.75,-85.5,-90.0,top
R141,57.75,-138.25,-90.0,top
R107,83.75,-100.5,-90.0,top
R65,118.4875,-150.5875,90.0,top
R172,59.75,-46.0,90.0,top
R14,77.0,-140.25,-90.0,top
R93,63.5,-136.25,180.0,top
C117,112.25,-93.95,180.0,top
C153,140.9,-75.25,90.0,top
R3,36.0,-124.0,90.0,top
U16,152.25,-143.25,90.0,top
C170,30.625,-127.75,180.0,top
R134,146.25,-91.25,-90.0,top
F1,98.0,-41.5,0.0,top
R125,34.25,-100.75,-90.0,top
R45,120.5,-116.8375,180.0,top
R46,117.25,-124.0875,90.0,top
JA4,46.5,-56.75,0.0,top
R136,154.5875,-90.25,180.0,top
R73,87.84,-122.25,0.0,top
R123,32.0,-104.5,-90.0,top
S_RESET1,59.7,-42.3,180.0,top
F2,131.5,-43.0,-90.0,top
J11,140.5,-176.75,180.0,top
Q1,95.25,-158.25,180.0,top
R113,92.5,-92.75,-90.0,top
C108,161.75,-93.45,90.0,top
C161,96.0,-176.75,0.0,top
C60,117.4875,-166.3375,180.0,top
C132,148.5,-74.25,90.0,top
C89,50.75,-90.0,180.0,top
D10,86.75,-158.05,90.0,top
C75,89.0,-95.75,180.0,top
IC12,156.075,-147.462,-90.0,top
J12,161.75,-176.75,90.0,top
IC5,156.75,-51.75,90.0,top
C103,31.5,-87.25,180.0,top
